averageCqiDl:vector,servingRSRP:vector,servingRSRQ:vector,servingSINR:vector
11.0,-66.333862923456,-88.552350419624,31.166137076544
11.0,-66.333862923456,-88.552350419624,31.166137076544
11.0,-66.333862923456,-88.552350419624,31.166137076544
11.0,-61.888878073191,-84.107365569359,35.611121926809
11.0,-66.361165699106,-88.579653195274,31.138834300894
11.0,-66.361165699106,-88.579653195274,31.138834300894
11.0,-66.361165699106,-88.579653195274,31.138834300894
11.0,-66.361165699106,-88.579653195274,31.138834300894
11.0,-68.614392814229,-90.832880310397,28.885607185771
11.0,-66.389441163013,-88.607928659181,31.110558836987
11.0,-66.389441163013,-88.607928659181,31.110558836987
11.0,-66.389441163013,-88.607928659181,31.110558836987
11.0,-66.389441163013,-88.607928659181,31.110558836987
11.0,-60.802542706919,-83.021030203087,36.697457293081
11.0,-66.418678228566,-88.637165724734,31.081321771434
11.0,-66.418678228566,-88.637165724734,31.081321771434
11.0,-66.418678228566,-88.637165724734,31.081321771434
11.0,-66.418678228566,-88.637165724734,31.081321771434
9.0,-70.379896153877,-92.598383650045,27.120103846123
9.0,-70.379896153877,-92.598383650045,27.120103846123
9.0,-70.379896153877,-92.598383650045,27.120103846123
9.0,-70.379896153877,-92.598383650045,27.120103846123
9.0,-70.379896153877,-92.598383650045,27.120103846123
9.0,-67.773719614293,-89.992207110461,29.726280385707
9.0,-70.411022072002,-92.62950956817,27.088977927998
9.0,-70.411022072002,-92.62950956817,27.088977927998
9.0,-70.411022072002,-92.62950956817,27.088977927998
9.0,-70.411022072002,-92.62950956817,27.088977927998
9.0,-67.572567822454,-89.791055318623,29.927432177546
9.0,-70.443074729704,-92.661562225872,27.056925270296
9.0,-70.443074729704,-92.661562225872,27.056925270296
9.0,-70.443074729704,-92.661562225872,27.056925270296
9.0,-70.443074729704,-92.661562225872,27.056925270296
9.0,-64.517807503733,-86.736294999902,32.982192496267
9.0,-70.476042017849,-92.694529514017,27.023957982151
9.0,-70.476042017849,-92.694529514017,27.023957982151
9.0,-70.476042017849,-92.694529514017,27.023957982151
9.0,-70.476042017849,-92.694529514017,27.023957982151
9.0,-67.028936593215,-89.247424089383,30.471063406785
9.0,-70.509911606055,-92.728399102223,26.990088393945
9.0,-70.509911606055,-92.728399102223,26.990088393945
9.0,-70.509911606055,-92.728399102223,26.990088393945
9.0,-70.509911606055,-92.728399102223,26.990088393945
9.0,-68.178935226147,-90.397422722316,29.321064773853
9.0,-70.544670956516,-92.763158452684,26.955329043484
9.0,-70.544670956516,-92.763158452684,26.955329043484
9.0,-70.544670956516,-92.763158452684,26.955329043484
9.0,-70.544670956516,-92.763158452684,26.955329043484
9.0,-66.927502507995,-89.145990004164,30.572497492005
9.0,-70.580307337801,-92.798794833969,26.919692662199
9.0,-70.580307337801,-92.798794833969,26.919692662199
9.0,-70.580307337801,-92.798794833969,26.919692662199
9.0,-70.580307337801,-92.798794833969,26.919692662199
9.0,-66.971798365281,-89.190285861449,30.528201634719
9.0,-70.616807838613,-92.835295334781,26.883192161387
9.0,-70.616807838613,-92.835295334781,26.883192161387
9.0,-70.616807838613,-92.835295334781,26.883192161387
9.0,-70.616807838613,-92.835295334781,26.883192161387
9.0,-72.167594324307,-94.386081820475,25.332405675693
9.0,-70.654159381477,-92.872646877645,26.845840618523
9.0,-70.654159381477,-92.872646877645,26.845840618523
9.0,-70.654159381477,-92.872646877645,26.845840618523
9.0,-70.654159381477,-92.872646877645,26.845840618523
9.0,-70.654159381477,-92.872646877645,26.845840618523
9.0,-65.723787653578,-87.942275149746,31.776212346422
9.0,-70.692348736327,-92.910836232496,26.807651263673
9.0,-70.692348736327,-92.910836232496,26.807651263673
9.0,-70.692348736327,-92.910836232496,26.807651263673
9.0,-70.692348736327,-92.910836232496,26.807651263673
11.0,-65.878546284367,-88.097033780535,31.621453715633
11.0,-65.878546284367,-88.097033780535,31.621453715633
11.0,-65.878546284367,-88.097033780535,31.621453715633
11.0,-65.878546284367,-88.097033780535,31.621453715633
11.0,-65.878546284367,-88.097033780535,31.621453715633
11.0,-62.727907187348,-84.946394683516,34.772092812652
11.0,-65.918371029831,-88.136858526,31.581628970169
11.0,-65.918371029831,-88.136858526,31.581628970169
11.0,-65.918371029831,-88.136858526,31.581628970169
